"NEWI";"NE";"Wirtschaftswissenschaften";;;
"NEWI01000";"NEWI";"Betriebswirtschaftslehre";"bkl=83.? or bkl=85.?";;"Page=803"
"NEWI01010";"NEWI01000";"Grundlagen & Allgemeines";"bkl=85.00";;"page=803"
"NEWI01020";"NEWI01000";"Unternehmensführung & Organisation";"bkl=85.06 or bkl=85.09";;"page=803"
"NEWI01030";"NEWI01000";"Beschaffung, Produktion & Logistik";"bkl=85.32 or bkl=85.35 or bkl=85.38";;"page=803"
"NEWI01040";"NEWI01000";"Marketing";"bkl=85.40";;"page=803"
"NEWI01050";"NEWI01000";"Controlling & Betriebliches Rechnungswesen";"bkl=85.10 or bkl=85.25";;"page=803"
"NEWI01060";"NEWI01000";"Unternehmenssteuern & Unternehmensprüfung";"bkl=85.27";;"page=803"
"NEWI01070";"NEWI01000";"Investition & Finanzierung";"bkl=85.30";;"page=803"
"NEWI01080";"NEWI01000";"Personalwirtschaft";"bkl=85.5? or bkl=85.6?";;"page=803"
"NEWI01090";"NEWI01000";"Forschung & Entwicklung";"bkl=85.15";;"page=803"
"NEWI01100";"NEWI01000";"Betriebliche Information & Kommunikation";"bkl=85.20";;"page=803"
"NEWI01110";"NEWI01000";"Geschichte, Philosophie & Sonstiges";"bkl=85.01 or bkl=85.02 or bkl=85.04 or bkl=85.05 or bkl=85.99";;"page=803"
;;;;;
"NEWI02000";"NEWI";"Volkswirtschaftslehre";"bkl=83.?";;"Page=803"
"NEWI02010";"NEWI02000";"Grundlagen & Allgemeines";"bkl=83.00 or bkl=83.10";;"page=803"
"NEWI02020";"NEWI02000";"Mikroökonomik";"bkl=83.11?";;"page=803"
"NEWI02030";"NEWI02000";"Makroökonomik";"bkl=83.12?";;"page=803"
"NEWI02040";"NEWI02000";"Wirtschaftswachstum & Wirtschaftsentwicklung";"bkl=83.3?";;"page=803"
"NEWI02050";"NEWI02000";"Außenwirtschaft";"bkl=83.4?";;"page=803"
"NEWI02060";"NEWI02000";"Arbeitsmarktökonomik";"bkl=83.14?";;"page=803"
"NEWI02070";"NEWI02000";"Geldtheorie und Geldpolitik";"bkl=83.50";;"page=803"
"NEWI02080";"NEWI02000";"Finanzwissenschaft";"bkl=83.52";;"page=803"
"NEWI02090";"NEWI02000";"Wirtschaftspolitik (inkl. Wirtschaftssysteme)";"bkl=83.13 or bkl=83.2?";;"page=803"
"NEWI02100";"NEWI02000";"Wirtschaftssektoren";"bkl=83.6? or bkl=83.7?";;"page=803"
"NEWI02110";"NEWI02000";"Geschichte, Philosophie & Sonstiges";"bkl=83.01 or bkl=83.02 or bkl=83.04 or bkl=83.05 or bkl=83.9999 or bkl=83.19";;"page=803"
;;;;;
"NEWI03000";"NEWI";"Methoden und Techniken der Wirtschaftswissenschaften (insbes. Wirtschaftsmathematik, -statistik, -informatik & Ökonometrie)";"bkl=83.03 or bkl=85.03";;"Page=803"
